,Iteration Count,Input Expression,Current Cost,Expand ?	,Expression to Process,selected_rand_comb,Rand El 1,Rand El 2,Matched Variable,Loop Reduced Expression,law_replace,New Expression,New Cost
161,161,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
162,162,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
163,163,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
164,164,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
165,165,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
166,166,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
167,167,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
168,168,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
169,169,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
170,170,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
171,171,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
172,172,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
173,173,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
174,174,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
175,175,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
176,176,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
177,177,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
178,178,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
179,179,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
180,180,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
181,181,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
182,182,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
183,183,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
184,184,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
185,185,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
186,186,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
187,187,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
188,188,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
189,189,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
190,190,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
191,191,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
192,192,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
193,193,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
194,194,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
195,195,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
196,196,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
197,197,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
198,198,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
199,199,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
200,200,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
201,201,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
202,202,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
203,203,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
204,204,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
205,205,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
206,206,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
207,207,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
208,208,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
209,209,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
210,210,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
211,211,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
212,212,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
213,213,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
214,214,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
215,215,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
216,216,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
217,217,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
218,218,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
219,219,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
220,220,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
221,221,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
222,222,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
223,223,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
224,224,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
225,225,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
226,226,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
227,227,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
228,228,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
229,229,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
230,230,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
231,231,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
232,232,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
233,233,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
234,234,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
235,235,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
236,236,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
237,237,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
238,238,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
239,239,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
240,240,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
241,241,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
242,242,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
243,243,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
244,244,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
245,245,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
246,246,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
247,247,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
248,248,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
249,249,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
250,250,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
251,251,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
252,252,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
253,253,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
254,254,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
255,255,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
256,256,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
257,257,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
258,258,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
259,259,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
